key,id,model_name,model_sha,model_precision,model_type,model_weight_type,model_architecture,model_average_score,model_has_chat_template,evaluations_ifeval_name,evaluations_ifeval_value,evaluations_ifeval_normalized_score,evaluations_bbh_name,evaluations_bbh_value,evaluations_bbh_normalized_score,evaluations_math_name,evaluations_math_value,evaluations_math_normalized_score,evaluations_gpqa_name,evaluations_gpqa_value,evaluations_gpqa_normalized_score,evaluations_musr_name,evaluations_musr_value,evaluations_musr_normalized_score,evaluations_mmlu_pro_name,evaluations_mmlu_pro_value,evaluations_mmlu_pro_normalized_score,features_is_not_available_on_hub,features_is_merged,features_is_moe,features_is_flagged,features_is_highlighted_by_maintainer,metadata_upload_date,metadata_submission_date,metadata_generation,metadata_base_model,metadata_hub_license,metadata_hub_hearts,metadata_params_billions,metadata_co2_cost,rank,rank_stylectrl,model,arena_score,95_pct_ci,votes,organization,license,knowledge_cutoff,url
openchat-3.5-0106,openchat/openchat-3.5-0106_bfloat16_ff058fda49726ecf4ea53dc1635f917cdb8ba36b_True,openchat/openchat-3.5-0106,ff058fda49726ecf4ea53dc1635f917cdb8ba36b,bfloat16,fine-tunedondomain-specificdatasets,Original,MistralForCausalLM,22.6586834330757,TRUE,IFEval,0.595135351977198,59.5135351977198,BBH,0.461697870839606,24.0387112139116,MATH Level 5,0.074773413897281,7.4773413897281,GPQA,0.307885906040268,7.71812080536913,MUSR,0.4254375,11.7463541666667,MMLU-PRO,0.329122340425532,25.4580378250591,TRUE,FALSE,FALSE,FALSE,TRUE,2024-01-07,2024-06-27,1,mistralai/Mistral-7B-v0.1,apache-2.0,348,7.242,2.35495886433684,118,112,OpenChat-3.5-0106,1091,+6/-5,12986,OpenChat,Apache-2.0,2024/1,https://huggingface.co/openchat/openchat-3.5-0106
openhermes-2.5-mistral-7b,teknium/OpenHermes-2.5-Mistral-7B_bfloat16_24c0bea14d53e6f67f1fbe2eca5bfe7cae389b33_True,teknium/OpenHermes-2.5-Mistral-7B,24c0bea14d53e6f67f1fbe2eca5bfe7cae389b33,bfloat16,chatmodels,Original,MistralForCausalLM,21.2668365601522,TRUE,IFEval,0.557141717310071,55.7141717310071,BBH,0.487001325992498,27.7700263678076,MATH Level 5,0.047583081570997,4.7583081570997,GPQA,0.283557046979866,4.47427293064877,MUSR,0.424197916666667,12.0580729166667,MMLU-PRO,0.305435505319149,22.8261672576832,TRUE,FALSE,FALSE,FALSE,TRUE,2023-10-29,2024-06-12,1,mistralai/Mistral-7B-v0.1,apache-2.0,818,7.242,0.472783300310566,126,117,OpenHermes-2.5-Mistral-7B,1074,+8/-6,5089,NousResearch,Apache-2.0,2023/11,https://huggingface.co/teknium/OpenHermes-2.5-Mistral-7B
phi-3-medium-4k-instruct,microsoft/Phi-3-medium-4k-instruct_bfloat16_d194e4e74ffad5a5e193e26af25bcfc80c7f1ffc_True,microsoft/Phi-3-medium-4k-instruct,d194e4e74ffad5a5e193e26af25bcfc80c7f1ffc,bfloat16,chatmodels,Original,Phi3ForCausalLM,32.8962495702928,TRUE,IFEval,0.642271395452954,64.2271395452954,BBH,0.641246489055555,49.3806100742202,MATH Level 5,0.183534743202417,18.3534743202417,GPQA,0.336409395973154,11.5212527964206,MUSR,0.42575,13.0520833333333,MMLU-PRO,0.467586436170213,40.8429373522459,TRUE,FALSE,FALSE,FALSE,TRUE,2024-05-07,2024-06-12,0,microsoft/Phi-3-medium-4k-instruct,mit,211,13.96,1.45526252332937,99,106,Phi-3-Medium-4k-Instruct,1123,+4/-4,26132,Microsoft,MIT,2023/10,https://huggingface.co/microsoft/Phi-3-medium-4k-instruct
phi-3-mini-128k-instruct,microsoft/Phi-3-mini-128k-instruct_bfloat16_5be6479b4bc06a081e8f4c6ece294241ccd32dec_True,microsoft/Phi-3-mini-128k-instruct,5be6479b4bc06a081e8f4c6ece294241ccd32dec,bfloat16,chatmodels,Original,Phi3ForCausalLM,25.6262872732554,TRUE,IFEval,0.597633168880792,59.7633168880792,BBH,0.557453179267985,37.0997666322403,MATH Level 5,0.0974320241691843,9.74320241691843,GPQA,0.317953020134228,9.06040268456376,MUSR,0.3936875,7.7109375,MMLU-PRO,0.373420877659575,30.3800975177305,TRUE,FALSE,FALSE,FALSE,TRUE,2024-04-22,2024-08-21,0,microsoft/Phi-3-mini-128k-instruct,mit,1613,3.821,24.2222515926888,145,141,Phi-3-Mini-128k-Instruct,1037,+4/-3,21634,Microsoft,MIT,2023/10,https://azure.microsoft.com/en-us/blog/introducing-phi-3-redefining-whats-possible-with-slms/
phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct_bfloat16_ff07dc01615f8113924aed013115ab2abd32115b_True,microsoft/Phi-3-mini-4k-instruct,ff07dc01615f8113924aed013115ab2abd32115b,bfloat16,chatmodels,Original,Phi3ForCausalLM,25.9677326380416,TRUE,IFEval,0.561288492311511,56.1288492311511,BBH,0.567597262633488,39.2693352377728,MATH Level 5,0.11631419939577,11.631419939577,GPQA,0.319630872483222,9.2841163310962,MUSR,0.395020833333333,7.64427083333334,MMLU-PRO,0.386635638297872,31.8484042553192,TRUE,FALSE,FALSE,FALSE,TRUE,2024-04-22,2024-06-12,0,microsoft/Phi-3-mini-4k-instruct,mit,1090,3.821,0.804074829912372,129,137,Phi-3-Mini-4k-Instruct,1066,+4/-5,21099,Microsoft,MIT,2023/10,https://huggingface.co/microsoft/Phi-3-mini-4k-instruct
phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct_float16_c1358f8a35e6d2af81890deffbbfa575b978c62f_True,microsoft/Phi-3-mini-4k-instruct,c1358f8a35e6d2af81890deffbbfa575b978c62f,float16,chatmodels,Original,Phi3ForCausalLM,27.4111166417796,TRUE,IFEval,0.547674614467391,54.7674614467391,BBH,0.549071891949582,36.5598553051879,MATH Level 5,0.154833836858006,15.4833836858006,GPQA,0.332214765100671,10.9619686800895,MUSR,0.428416666666667,13.11875,MMLU-PRO,0.402177526595745,33.5752807328605,TRUE,FALSE,FALSE,FALSE,TRUE,2024-04-22,2024-07-02,0,microsoft/Phi-3-mini-4k-instruct,mit,1090,3.821,0.786699265454341,129,137,Phi-3-Mini-4k-Instruct,1066,+4/-5,21099,Microsoft,MIT,2023/10,https://huggingface.co/microsoft/Phi-3-mini-4k-instruct
phi-3-mini-4k-instruct,unsloth/Phi-3-mini-4k-instruct_float16_636c707430a5509c80b1aa51d05c127ed339a975_True,unsloth/Phi-3-mini-4k-instruct,636c707430a5509c80b1aa51d05c127ed339a975,float16,basemergesandmoerges,Original,MistralForCausalLM,27.1783743374799,TRUE,IFEval,0.544027624480822,54.4027624480822,BBH,0.550023946744103,36.732473265614,MATH Level 5,0.154078549848943,15.4078549848943,GPQA,0.322986577181208,9.73154362416107,MUSR,0.428416666666667,13.11875,MMLU-PRO,0.403091755319149,33.6768617021277,TRUE,FALSE,FALSE,FALSE,FALSE,2024-04-29,2024-11-25,0,unsloth/Phi-3-mini-4k-instruct,mit,41,3.821,0.469533108024419,129,137,Phi-3-Mini-4k-Instruct,1066,+4/-5,21099,Microsoft,MIT,2023/10,https://huggingface.co/microsoft/Phi-3-mini-4k-instruct
phi-3-small-8k-instruct,microsoft/Phi-3-small-8k-instruct_bfloat16_1535ae26fb4faada95c6950e8bc6e867cdad6b00_True,microsoft/Phi-3-small-8k-instruct,1535ae26fb4faada95c6950e8bc6e867cdad6b00,bfloat16,chatmodels,Original,Phi3SmallForCausalLM,29.6709218521057,TRUE,IFEval,0.649665110794913,64.9665110794913,BBH,0.620836488087056,46.2055703663891,MATH Level 5,0.0284301430770108,2.84301430770108,GPQA,0.312080536912752,8.27740492170022,MUSR,0.455791666666667,16.7739583333333,MMLU-PRO,0.45063164893617,38.9590721040189,TRUE,FALSE,FALSE,FALSE,TRUE,2024-05-07,2024-06-13,0,microsoft/Phi-3-small-8k-instruct,mit,159,7.392,1.0254536035218,111,113,Phi-3-Small-8k-Instruct,1102,+4/-4,18502,Microsoft,MIT,2023/10,https://huggingface.co/microsoft/Phi-3-small-8k-instruct
qwen1.5-110b-chat,Qwen/Qwen1.5-110B-Chat_bfloat16_85f86cec25901f2dbd870a86e06756903c9a876a_True,Qwen/Qwen1.5-110B-Chat,85f86cec25901f2dbd870a86e06756903c9a876a,bfloat16,chatmodels,Original,Qwen2ForCausalLM,29.2248366843256,TRUE,IFEval,0.593886443525402,59.3886443525402,BBH,0.618380038558863,44.9845452561663,MATH Level 5,0,0,GPQA,0.341442953020134,12.1923937360179,MUSR,0.452166666666667,16.2875,MMLU-PRO,0.482463430851064,42.4959367612293,TRUE,FALSE,FALSE,FALSE,TRUE,2024-04-25,2024-06-12,0,Qwen/Qwen1.5-110B-Chat,other,123,111.21,72.5652930561157,83,77,Qwen1.5-110B-Chat,1161,+4/-4,27470,Alibaba,Qianwen LICENSE,2024/4,https://qwenlm.github.io/blog/qwen1.5-110b/
qwen1.5-14b-chat,Qwen/Qwen1.5-14B-Chat_bfloat16_9492b22871f43e975435455f5c616c77fe7a50ec_True,Qwen/Qwen1.5-14B-Chat,9492b22871f43e975435455f5c616c77fe7a50ec,bfloat16,chatmodels,Original,Qwen2ForCausalLM,21.0233068778711,TRUE,IFEval,0.476808202236732,47.6808202236732,BBH,0.522858751070356,32.7564793005307,MATH Level 5,0,0,GPQA,0.27013422818792,2.68456375838927,MUSR,0.439979166666667,13.9307291666667,MMLU-PRO,0.361785239361702,29.0872488179669,TRUE,FALSE,FALSE,FALSE,TRUE,2024-01-30,2024-06-12,0,Qwen/Qwen1.5-14B-Chat,other,112,14.167,1.33846601000728,109,109,Qwen1.5-14B-Chat,1109,+3/-4,18680,Alibaba,Qianwen LICENSE,2024/2,https://qwenlm.github.io/blog/qwen1.5/
qwen1.5-32b-chat,Qwen/Qwen1.5-32B-Chat_bfloat16_0997b012af6ddd5465d40465a8415535b2f06cfc_True,Qwen/Qwen1.5-32B-Chat,0997b012af6ddd5465d40465a8415535b2f06cfc,bfloat16,chatmodels,Original,Qwen2ForCausalLM,27.1930170704966,TRUE,IFEval,0.553219900973861,55.3219900973861,BBH,0.606689975793023,44.5548540239164,MATH Level 5,0.0717522658610272,7.17522658610272,GPQA,0.306208053691275,7.49440715883669,MUSR,0.415979166666667,10.1973958333333,MMLU-PRO,0.445728058510638,38.4142287234043,TRUE,FALSE,FALSE,FALSE,TRUE,2024-04-03,2024-06-12,0,Qwen/Qwen1.5-32B-Chat,other,108,32.512,46.0594497310076,99,101,Qwen1.5-32B-Chat,1125,+3/-3,22764,Alibaba,Qianwen LICENSE,2024/2,https://qwenlm.github.io/blog/qwen1.5-32b/
qwen1.5-4b-chat,Qwen/Qwen1.5-4B-Chat_bfloat16_a7a4d4945d28bac955554c9abd2f74a71ebbf22f_True,Qwen/Qwen1.5-4B-Chat,a7a4d4945d28bac955554c9abd2f74a71ebbf22f,bfloat16,chatmodels,Original,Qwen2ForCausalLM,12.3377534239841,TRUE,IFEval,0.315665766832006,31.5665766832006,BBH,0.400554856114861,16.2970785289083,MATH Level 5,0.0105740181268882,1.05740181268882,GPQA,0.266778523489933,2.23713646532438,MUSR,0.39778125,7.35598958333333,MMLU-PRO,0.239611037234043,15.5123374704492,TRUE,FALSE,FALSE,FALSE,TRUE,2024-01-30,2024-06-12,0,Qwen/Qwen1.5-4B-Chat,other,38,3.95,0.866150647838799,163,159,Qwen1.5-4B-Chat,988,+6/-6,7814,Alibaba,Qianwen LICENSE,2024/2,https://qwenlm.github.io/blog/qwen1.5/
qwen1.5-7b-chat,Qwen/Qwen1.5-7B-Chat_bfloat16_5f4f5e69ac7f1d508f8369e977de208b4803444b_True,Qwen/Qwen1.5-7B-Chat,5f4f5e69ac7f1d508f8369e977de208b4803444b,bfloat16,chatmodels,Original,Qwen2ForCausalLM,16.5761729315825,TRUE,IFEval,0.437115741787347,43.7115741787347,BBH,0.451005311652135,22.3791295999528,MATH Level 5,0,0,GPQA,0.302852348993289,7.04697986577182,MUSR,0.37790625,4.63828125,MMLU-PRO,0.295129654255319,21.6810726950355,TRUE,FALSE,FALSE,FALSE,TRUE,2024-01-30,2024-06-12,0,Qwen/Qwen1.5-7B-Chat,other,164,7.721,1.07882659669136,127,132,Qwen1.5-7B-Chat,1070,+8/-7,4869,Alibaba,Qianwen LICENSE,2024/2,https://qwenlm.github.io/blog/qwen1.5/
qwen2-72b-instruct,Qwen/Qwen2-72B-Instruct_bfloat16_1af63c698f59c4235668ec9c1395468cb7cd7e79_False,Qwen/Qwen2-72B-Instruct,1af63c698f59c4235668ec9c1395468cb7cd7e79,bfloat16,chatmodels,Original,Qwen2ForCausalLM,42.9143041555209,FALSE,IFEval,0.7989168738946,79.89168738946,BBH,0.697730968386067,57.483009118763,MATH Level 5,0.376888217522659,37.6888217522659,GPQA,0.37248322147651,16.331096196868,MUSR,0.456010416666667,17.16796875,MMLU-PRO,0.540309175531915,48.9232417257683,TRUE,FALSE,FALSE,FALSE,TRUE,2024-05-28,2024-06-26,1,Qwen/Qwen2-72B,other,688,72.706,37.5539744227,69,61,Qwen2-72B-Instruct,1187,+3/-4,38956,Alibaba,Qianwen LICENSE,2024/6,https://qwenlm.github.io/blog/qwen2/
qwen2.5-72b-instruct,Qwen/Qwen2.5-72B-Instruct_bfloat16_a13fff9ad76700c7ecff2769f75943ba8395b4a7_True,Qwen/Qwen2.5-72B-Instruct,a13fff9ad76700c7ecff2769f75943ba8395b4a7,bfloat16,chatmodels,Original,Qwen2ForCausalLM,38.2120812616148,TRUE,IFEval,0.863837949972739,86.3837949972739,BBH,0.727274732174482,61.8732556687879,MATH Level 5,0.0120845921450151,1.20845921450151,GPQA,0.375,16.6666666666667,MUSR,0.420604166666667,11.7421875,MMLU-PRO,0.562583111702128,51.3981235224587,TRUE,FALSE,FALSE,FALSE,TRUE,2024-09-16,2024-10-16,1,Qwen/Qwen2.5-72B,other,614,72.706,33.0067683243991,27,33,Qwen2.5-72B-Instruct,1257,+3/-3,36199,Alibaba,Qwen,2024/9,https://qwenlm.github.io/blog/qwen2.5/
qwen2.5-coder-32b-instruct,Qwen/Qwen2.5-Coder-32B-Instruct_float16_b47205940b83b5b484577359f71ee7b88472df67_False,Qwen/Qwen2.5-Coder-32B-Instruct,b47205940b83b5b484577359f71ee7b88472df67,float16,chatmodels,Original,Qwen2ForCausalLM,38.7525412608276,FALSE,IFEval,0.726526726862503,72.6526726862503,BBH,0.662522222240513,52.2665152094361,MATH Level 5,0.427492447129909,42.7492447129909,GPQA,0.348993288590604,13.1991051454139,MUSR,0.438583333333333,13.7229166666667,MMLU-PRO,0.441323138297872,37.924793144208,TRUE,FALSE,FALSE,FALSE,TRUE,2024-11-06,2024-12-10,1,Qwen/Qwen2.5-Coder-32B-Instruct (Merge),apache-2.0,1339,32,4.69438966297979,46,53,Qwen2.5-Coder-32B-Instruct,1217,+8/-7,5745,Alibaba,Apache 2.0,Unknown,https://huggingface.co/Qwen/Qwen2.5-Coder-32B-Instruct
qwq-32b-preview,Qwen/QwQ-32B-Preview_bfloat16_1032e81cb936c486aae1d33da75b2fbcd5deed4a_True,Qwen/QwQ-32B-Preview,1032e81cb936c486aae1d33da75b2fbcd5deed4a,bfloat16,chatmodels,Original,Qwen2ForCausalLM,30.444123257489,TRUE,IFEval,0.403543708471301,40.3543708471301,BBH,0.669138148225274,53.3876763517132,MATH Level 5,0.228851963746224,22.8851963746224,GPQA,0.281879194630873,4.25055928411634,MUSR,0.410989583333333,9.80703125,MMLU-PRO,0.56781914893617,51.9799054373523,TRUE,FALSE,FALSE,FALSE,TRUE,2024-11-27,2024-11-29,2,Qwen/Qwen2.5-32B,apache-2.0,1354,32.764,10.2103897762396,84,117,QwQ-32B-Preview,1150,+11/-11,2823,Alibaba,Apache 2.0,Unknown,https://huggingface.co/Qwen/QwQ-32B-Preview
solar-10.7b-instruct-v1.0,upstage/SOLAR-10.7B-Instruct-v1.0_float16_c08c25ed66414a878fe0401a3596d536c083606c_True,upstage/SOLAR-10.7B-Instruct-v1.0,c08c25ed66414a878fe0401a3596d536c083606c,float16,chatmodels,Original,LlamaForCausalLM,19.6282553318946,TRUE,IFEval,0.473660997265035,47.3660997265035,BBH,0.516249494144699,31.8724018880021,MATH Level 5,0,0,GPQA,0.308724832214765,7.82997762863535,MUSR,0.3899375,6.9421875,MMLU-PRO,0.313829787234043,23.7588652482269,TRUE,FALSE,FALSE,FALSE,TRUE,2023-12-12,2024-06-12,1,upstage/SOLAR-10.7B-Instruct-v1.0 (Merge),cc-by-nc-4.0,619,10.732,0.782775785638588,131,131,SOLAR-10.7B-Instruct-v1.0,1062,+7/-9,4288,Upstage AI,CC-BY-NC-4.0,2023/11,https://huggingface.co/upstage/SOLAR-10.7B-Instruct-v1.0
starling-lm-7b-alpha,berkeley-nest/Starling-LM-7B-alpha_bfloat16_1dddf3b95bc1391f6307299eb1c162c194bde9bd_True,berkeley-nest/Starling-LM-7B-alpha,1dddf3b95bc1391f6307299eb1c162c194bde9bd,bfloat16,chatmodels,Original,MistralForCausalLM,20.8267729304501,TRUE,IFEval,0.548049176185854,54.8049176185854,BBH,0.4440065261164,21.9540280871593,MATH Level 5,0.0830815709969789,8.30815709969789,GPQA,0.296979865771812,6.26398210290828,MUSR,0.412010416666667,9.50130208333333,MMLU-PRO,0.317154255319149,24.1282505910166,TRUE,FALSE,FALSE,FALSE,TRUE,2023-11-25,2024-06-12,0,berkeley-nest/Starling-LM-7B-alpha,apache-2.0,556,7.242,0.551628886692049,119,121,Starling-LM-7B-alpha,1089,+6/-4,10414,UC Berkeley,CC-BY-NC-4.0,2023/11,https://huggingface.co/berkeley-nest/Starling-LM-7B-alpha
wizardlm-13b-v1.2,WizardLMTeam/WizardLM-13B-V1.2_float16_cf5f40382559f19e13874e45b39575171ca46ef8_False,WizardLMTeam/WizardLM-13B-V1.2,cf5f40382559f19e13874e45b39575171ca46ef8,float16,fine-tunedondomain-specificdatasets,Original,LlamaForCausalLM,15.164944624066,FALSE,IFEval,0.339246532533677,33.9246532533677,BBH,0.446199943646005,22.8886549780445,MATH Level 5,0.0181268882175227,1.81268882175227,GPQA,0.260906040268456,1.45413870246085,MUSR,0.43784375,14.03046875,MMLU-PRO,0.251911569148936,16.8790632387707,TRUE,FALSE,FALSE,FALSE,TRUE,2023-07-25,2024-06-12,0,WizardLMTeam/WizardLM-13B-V1.2,llama2,224,13,3.51945813008333,134,132,WizardLM-13b-v1.2,1059,+8/-8,7182,Microsoft,Llama 2 Community,2023/7,https://huggingface.co/WizardLM/WizardLM-13B-V1.2
wizardlm-70b-v1.0,WizardLMTeam/WizardLM-70B-V1.0_float16_54aaecaff7d0790eb9f0ecea1cc267a94cc66949_False,WizardLMTeam/WizardLM-70B-V1.0,54aaecaff7d0790eb9f0ecea1cc267a94cc66949,float16,fine-tunedondomain-specificdatasets,Original,LlamaForCausalLM,22.3596777488762,FALSE,IFEval,0.495142887538398,49.5142887538398,BBH,0.559036604718426,37.5433545336814,MATH Level 5,0.0370090634441088,3.70090634441088,GPQA,0.265939597315436,2.12527964205817,MUSR,0.439114583333333,14.0893229166667,MMLU-PRO,0.344664228723404,27.1849143026005,TRUE,FALSE,FALSE,FALSE,TRUE,2023-08-09,2024-06-12,0,WizardLMTeam/WizardLM-70B-V1.0,llama2,235,70,29.0960632919542,109,112,WizardLM-70B-v1.0,1106,+6/-7,8382,Microsoft,Llama 2 Community,2023/8,https://huggingface.co/WizardLM/WizardLM-70B-V1.0
yi-1.5-34b-chat,01-ai/Yi-1.5-34B-Chat_bfloat16_f3128b2d02d82989daae566c0a7eadc621ca3254_True,01-ai/Yi-1.5-34B-Chat,f3128b2d02d82989daae566c0a7eadc621ca3254,bfloat16,chatmodels,Original,LlamaForCausalLM,32.8922333485004,TRUE,IFEval,0.606675842320598,60.6675842320598,BBH,0.608374831027182,44.2628259810057,MATH Level 5,0.249244712990937,24.9244712990937,GPQA,0.36493288590604,15.324384787472,MUSR,0.428197916666667,13.0580729166667,MMLU-PRO,0.452044547872341,39.1160608747045,TRUE,FALSE,FALSE,FALSE,TRUE,2024-05-10,2024-06-12,0,01-ai/Yi-1.5-34B-Chat,apache-2.0,258,34.389,11.2119219336639,84,97,Yi-1.5-34B-Chat,1157,+4/-4,25157,01 AI,Apache-2.0,2024/5,https://huggingface.co/01-ai/Yi-1.5-34B-Chat
yi-34b-chat,01-ai/Yi-34B-Chat_bfloat16_2e528b6a80fb064a0a746c5ca43114b135e30464_True,01-ai/Yi-34B-Chat,2e528b6a80fb064a0a746c5ca43114b135e30464,bfloat16,chatmodels,Original,LlamaForCausalLM,23.9623121996312,TRUE,IFEval,0.469888783982057,46.9888783982057,BBH,0.556087291076616,37.6239875972435,MATH Level 5,0.0468277945619335,4.68277945619335,GPQA,0.338087248322148,11.744966442953,MUSR,0.39784375,8.36380208333334,MMLU-PRO,0.409325132978723,34.3694592198582,TRUE,FALSE,FALSE,FALSE,TRUE,2023-11-22,2024-06-12,0,01-ai/Yi-34B-Chat,apache-2.0,345,34.389,12.5628478449908,105,112,Yi-34B-Chat,1111,+5/-4,15930,01 AI,Yi License,2023/6,https://huggingface.co/01-ai/Yi-34B-Chat
zephyr-7b-alpha,HuggingFaceH4/zephyr-7b-alpha_bfloat16_2ce2d025864af849b3e5029e2ec9d568eeda892d_True,HuggingFaceH4/zephyr-7b-alpha,2ce2d025864af849b3e5029e2ec9d568eeda892d,bfloat16,chatmodels,Original,MistralForCausalLM,18.5718642203846,TRUE,IFEval,0.519148082642943,51.9148082642943,BBH,0.458786350590441,23.9552914270685,MATH Level 5,0.0173716012084592,1.73716012084592,GPQA,0.297818791946309,6.3758389261745,MUSR,0.394958333333333,7.503125,MMLU-PRO,0.279504654255319,19.9449615839244,TRUE,FALSE,FALSE,FALSE,TRUE,2023-10-09,2024-06-12,1,mistralai/Mistral-7B-v0.1,mit,1102,7.242,0.79567519919312,140,137,Zephyr-7B-alpha,1042,+12/-16,1814,HuggingFace,MIT,2023/10,https://huggingface.co/HuggingFaceH4/zephyr-7b-alpha
zephyr-7b-beta,HuggingFaceH4/zephyr-7b-beta_bfloat16_b70e0c9a2d9e14bd1e812d3c398e5f313e93b473_True,HuggingFaceH4/zephyr-7b-beta,b70e0c9a2d9e14bd1e812d3c398e5f313e93b473,bfloat16,chatmodels,Original,MistralForCausalLM,17.767060993735,TRUE,IFEval,0.495043152169577,49.5043152169577,BBH,0.431582191918003,21.4875421828067,MATH Level 5,0.027190332326284,2.7190332326284,GPQA,0.290268456375839,5.36912751677852,MUSR,0.392541666666667,7.734375,MMLU-PRO,0.278091755319149,19.7879728132388,TRUE,FALSE,FALSE,FALSE,TRUE,2023-10-26,2024-06-12,1,mistralai/Mistral-7B-v0.1,mit,1621,7.242,0.555023090869454,140,140,Zephyr-7B-beta,1053,+5/-6,11332,HuggingFace,MIT,2023/10,https://huggingface.co/HuggingFaceH4/zephyr-7b-beta
zephyr-orpo-141b-a35b-v0.1,HuggingFaceH4/zephyr-orpo-141b-A35b-v0.1_float16_a3be084543d278e61b64cd600f28157afc79ffd3_True,HuggingFaceH4/zephyr-orpo-141b-A35b-v0.1,a3be084543d278e61b64cd600f28157afc79ffd3,float16,chatmodels,Original,MixtralForCausalLM,34.0630228005823,TRUE,IFEval,0.65108911022753,65.108911022753,BBH,0.629043972852409,47.5037962865412,MATH Level 5,0.200906344410876,20.0906344410876,GPQA,0.378355704697987,17.1140939597315,MUSR,0.446520833333333,14.7151041666667,MMLU-PRO,0.458610372340426,39.8455969267139,TRUE,FALSE,FALSE,FALSE,TRUE,2024-04-10,2024-06-12,1,mistral-community/Mixtral-8x22B-v0.1,apache-2.0,262,140.621,42.0677864230678,99,95,Zephyr-ORPO-141b-A35b-v0.1,1127,+9/-8,4861,HuggingFace,Apache 2.0,2024/4,https://huggingface.co/HuggingFaceH4/zephyr-orpo-141b-A35b-v0.1
